data_moran_type,noise_moran,data_moran,rmse,corr,ssim,coverage_rate
pos,0.9831347424274329,0.00616001065541838,0.028767222337839585,0.823224183820125,0.5327577073034313,0.9075
pos,0.9831347424274329,0.09349241387207337,0.027963572919473028,0.8329308746328894,0.54724153320799,0.9054
pos,0.9831347424274329,0.6826718616465217,0.02841228832553354,0.8209629946090178,0.5505576578344901,0.9017
pos,0.9831347424274329,0.7901490161026219,0.028861967372863288,0.8116518760870131,0.5240057066960496,0.8978
pos,0.9831347424274329,0.9463923951737099,0.029374961885975347,0.8161937820343222,0.5351309707662237,0.9068
pos,0.9831347424274329,0.9751159243360307,0.02829298084389639,0.8238549719138916,0.5469129806066871,0.903
pos,0.9831347424274329,0.985281052243873,0.029105665857094877,0.8109532737514259,0.5368869576111375,0.9042
pos,0.9831347424274329,0.9900318460968314,0.02863383578469449,0.8129533676799653,0.5424092437806797,0.8991
pos,0.9831347424274329,0.9928030017007318,0.028467673142231885,0.8249165685631367,0.5592681456434415,0.9113
pos,0.9886542446545953,0.00616001065541838,0.019823358949678425,0.8624160209127629,0.6075071312411244,0.9209
pos,0.9886542446545953,0.09349241387207337,0.01940483265710661,0.8721782162534875,0.6000705978862072,0.9086
pos,0.9886542446545953,0.6826718616465217,0.01958895608492446,0.8700282597479382,0.5937170015998968,0.9181
pos,0.9886542446545953,0.7901490161026219,0.01954955909940752,0.873557624886273,0.6014998763053855,0.9136
pos,0.9886542446545953,0.9463923951737099,0.019983547519811965,0.8650615078253864,0.5931951149319041,0.9223
pos,0.9886542446545953,0.9751159243360307,0.01901161665365535,0.8795246917909302,0.6165076864731182,0.918
pos,0.9886542446545953,0.985281052243873,0.018951236055720057,0.8775391984317383,0.6017821922272476,0.9216
pos,0.9886542446545953,0.9900318460968314,0.019151581433604334,0.8688809926940374,0.6073482086512199,0.9023
pos,0.9886542446545953,0.9928030017007318,0.019640839706744705,0.8698402769243002,0.5997674763993016,0.9236
pos,0.9918687429664483,0.00616001065541838,0.013531593150861075,0.914644887755162,0.6425835040015443,0.92
pos,0.9918687429664483,0.09349241387207337,0.013757526206001146,0.903810883323443,0.6428627215418505,0.9172
pos,0.9918687429664483,0.6826718616465217,0.01382482833585434,0.9088590646888499,0.6323101931047806,0.9289
pos,0.9918687429664483,0.7901490161026219,0.013733532051955863,0.9091838272585664,0.6471017615536006,0.9359
pos,0.9918687429664483,0.9463923951737099,0.013255045260423627,0.9136168686383886,0.6486243417030563,0.9134
pos,0.9918687429664483,0.9751159243360307,0.013828630765162764,0.9086059721685633,0.6453744071096202,0.9205
pos,0.9918687429664483,0.985281052243873,0.01318042434556473,0.9135599689630755,0.6445260527241422,0.9137
pos,0.9918687429664483,0.9900318460968314,0.013763150494913945,0.9084905633597241,0.6454184415571778,0.9255
pos,0.9918687429664483,0.9928030017007318,0.013578791995051766,0.9105870334460249,0.6459547875112958,0.9268
pos,0.9938785317292541,0.00616001065541838,0.010214473803189517,0.9298571315803762,0.6680560766193832,0.9284
